0,1,2,3,4,5
1427207563990,62,6,75,68,62
1427207570072,100,37,75,93,81
1427207692200,69,69,80,81,70
1427207784037,78,71,56,68,61
1427207792548,38,66,71,71,95
1427207801970,37,68,68,75,43
1427207892042,0,0,0,0,0
1427207998505,62,53,82,62,77
1427208035578,62,50,87,87,87
1427208035842,66,60,63,81,51
1427208037091,100,56,56,81,18
1427208082656,31,81,75,43,25
1427208296585,81,56,68,75,62
1427208339369,93,31,93,31,31
1427208377198,87,62,68,81,37
1427208390145,12,12,0,0,0
1427208395692,87,56,81,62,62
1427208541630,63,56,51,63,63
1427208563509,93,87,87,75,62
1427208577186,0,0,0,0,0
1427208667194,0,0,0,0,0
1427208681604,37,6,18,18,0
1427208698384,100,75,87,87,37
1427208769950,100,43,75,93,75
1427208807004,25,62,81,68,56
1427208856702,73,61,64,66,53
1427208863571,12,0,12,12,0
1427208912211,87,87,100,81,81
1427208916996,0,0,0,0,0
1427208973106,37,43,75,31,75
1427208988910,100,62,68,87,43
1427209090170,43,37,75,81,100
1427209114359,31,93,81,75,56
1427209115834,75,75,50,62,12
1427209174374,76,50,51,66,58
1427209213198,56,56,68,87,75
1427209318535,75,25,75,100,75
1427209358434,75,56,37,25,6
1427209492264,45,56,53,73,73
1427209553899,75,93,100,87,50
1427209585125,93,56,93,75,75
1427209648158,78,44,62,30,69
1427209703159,68,75,75,62,81
1427209746479,70,50,73,65,50
1427209983610,81,75,68,75,43
1427209995793,56,50,88,25,43
1427210027682,0,0,0,0,0
1427210032881,93,62,77,62,42
1427210292532,87,43,75,31,81
1427210341716,45,57,77,62,69
1427210362854,68,63,51,60,46
1427210422112,65,36,48,61,61
1427210503012,50,61,69,45,68
1427210545422,37,25,100,87,75
1427210555252,68,37,75,31,25
1427210558963,93,93,87,93,56
1427210596760,87,68,81,87,56
1427210601162,5,12,8,10,2
1427210637583,51,60,73,75,60
1427210695991,87,56,81,56,37
1427210698679,0,0,0,0,0
1427210728378,86,49,49,49,70
1427210875294,56,56,50,50,50
1427210931867,60,62,85,46,69
1427210992371,12,43,62,62,93
1427210997109,87,37,62,81,75
1427211005470,0,0,0,0,0
1427211059341,0,0,0,0,0
1427211193272,0,0,0,0,0
1427211213979,60,44,77,69,70
1427211218023,46,58,69,61,64
1427211276627,56,62,68,68,56
1427211293552,50,56,68,56,81
1427211336644,75,58,63,58,41
1427211372012,75,43,61,50,41
1427211476747,12,0,12,0,12
1427211557416,75,37,62,62,75
1427211565425,56,62,68,68,56
1427211717310,18,31,21,35,38
1427211750775,56,63,76,58,83
1427211804792,0,0,0,0,0
1427211885702,77,48,72,72,69
1427211943060,31,18,62,62,25
1427211970530,0,0,0,0,0
1427211980686,76,46,68,65,70
1427212045614,76,68,65,51,55
1427212060614,75,68,87,62,62
1427212163867,50,68,56,62,75
1427212200124,81,43,87,50,43
1427212264334,68,43,81,50,25
1427212277935,43,37,81,37,87
1427212331491,76,49,76,57,64
1427212335226,62,37,31,87,43
1427212440106,12,12,12,12,6
1427212444319,43,68,81,50,87
1427212612271,58,86,71,55,71
1427212698971,87,93,75,75,31
1427212704170,62,56,75,93,68
1427212833864,46,55,75,61,60
1427212986812,87,43,87,87,18
1427212991362,81,18,87,43,62
1427213040173,31,56,68,31,12
1427213053878,68,70,74,62,70
1427213181730,44,76,78,77,64
1427213272947,100,93,93,93,75
1427213291840,87,81,93,81,37
1427213374056,75,81,87,43,75
1427213469625,0,0,0,0,0
1427213624158,70,71,71,53,68
1427213676100,50,62,81,68,87
1427213772813,100,75,87,87,50
1427213848634,87,87,56,87,50
1427214042691,31,81,37,62,31
1427214097350,93,87,87,75,18
1427214141702,60,63,48,71,68
1427214142080,5,5,0,0,0
1427214318594,81,68,50,93,43
1427214340882,46,72,85,72,50
1427214345172,0,0,0,0,0
1427214356189,81,25,50,81,12
1427214385585,100,43,75,68,56
1427214404749,43,0,68,56,50
1427214472291,75,75,87,43,37
1427214476767,93,50,56,81,37
1427214484923,87,12,75,62,50
1427214554167,56,62,56,68,56
1427214581827,4,5,5,5,0
1427214590286,0,0,0,0,0
1427214622869,87,56,68,93,37
1427214662427,93,93,87,87,43
1427215021468,60,66,80,84,74
1427215059825,25,18,68,81,100
1427215130717,75,60,65,73,38
1427215136313,69,73,85,77,62
1427215194561,50,93,81,68,75
1427215258609,68,87,75,68,50
1427215265677,62,37,87,62,31
1427215392073,87,25,81,87,50
1427215417778,12,0,0,0,0
1427215521994,62,37,50,50,25
1427215546760,74,81,84,80,61
1427215548659,62,37,81,56,68
1427215594758,43,37,81,68,87
1427215614379,44,77,86,76,46
1427215710469,90,56,81,68,69
1427215739715,70,56,73,77,82
1427215793271,69,49,49,66,68
1427215831836,93,68,75,87,18
1427216133910,90,50,62,57,49
1427216183079,62,43,100,87,68
1427216350180,87,100,68,87,50
1427216392639,6,50,37,62,75
1427216579148,61,76,61,55,73
1427216795578,100,56,75,87,50
1427216829900,55,46,68,61,81
1427216943006,50,50,50,50,50
1427216952977,0,0,0,0,0
1427216990649,87,50,75,81,31
1427217090451,0,0,0,0,0
1427217193987,53,57,72,69,45
1427217246299,68,75,100,62,93
1427217443581,6,0,0,0,0
1427217541932,61,58,55,70,66
1427217678447,18,6,81,18,62
1427217723166,87,43,43,50,37
1427217785381,87,56,56,43,18
1427217815811,48,61,92,72,77
1427217823354,81,56,81,93,93
1427217868051,65,61,69,70,77
1427217897074,50,50,56,56,31
1427218024274,62,43,50,56,81
1427218033844,75,50,62,81,68
1427218574493,63,43,60,58,65
1427218884408,50,31,43,18,0
1427219179458,75,62,100,18,56
1427219193980,20,25,16,16,18
1427219241510,50,69,85,56,64
1427219368650,75,53,61,50,46
1427219439648,77,48,68,60,56
1427219459547,61,61,60,60,60
1427219488638,56,31,87,81,75
1427219605586,100,100,100,100,100
1427219697987,50,25,37,62,37
1427219784056,50,31,56,43,50
1427219923970,28,29,30,26,24
1427219928085,56,68,80,61,46
1427219973388,87,62,43,68,31
1427220129473,66,40,61,48,50
1427220198558,31,25,62,68,37
1427220229700,75,31,75,93,87
1427220386233,16,12,12,13,10
1427220422002,66,42,58,61,53
1427220464076,75,93,56,87,31
1427220737647,66,45,63,58,51
1427221001041,74,40,73,60,62
1427221176988,64,54,69,72,66
1427221255634,87,62,75,68,31
1427221295778,42,68,58,54,62
1427221416194,100,12,62,87,100
1427221442765,50,50,100,50,62
1427221446500,37,6,87,56,93
1427221595128,87,56,75,68,31
1427221643559,75,37,25,87,37
1427221810537,62,56,52,52,57
1427221922731,64,85,74,50,73
1427222005341,0,0,0,0,0
1427222048944,43,68,75,100,43
1427222073161,87,68,87,68,12
1427222108757,37,81,75,56,37
1427222151750,0,0,0,0,0
1427222214407,43,63,60,60,70
1427222263638,87,100,62,50,31
1427222281694,68,68,68,68,50
1427222461972,75,75,62,75,43
1427222495108,18,25,12,12,0
1427222599193,68,56,87,68,62
1427222803205,68,68,75,81,50
1427222806171,93,43,75,81,43
1427222842897,100,81,93,81,75
1427222928301,37,43,56,87,93
1427223006864,56,50,81,87,56
1427223116182,93,93,81,81,50
1427223119106,75,25,37,18,0
1427223130697,50,75,93,68,50
1427223135115,87,87,43,100,37
1427223238426,72,68,58,53,72
1427223345342,83,55,53,60,33
1427223533279,58,68,90,65,57
1427223555662,78,38,73,45,83
1427223563516,45,48,48,73,55
1427223664614,48,62,82,76,56
1427224293321,6,3,6,6,6
1427224355145,87,68,81,100,100
1427224410168,93,56,87,62,81
1427224516426,69,37,66,61,78
1427224535106,87,81,75,50,62
1427224659382,75,56,81,62,56
1427224736685,0,0,0,0,0
1427224940006,26,23,25,31,30
1427225106749,0,0,0,0,0
1427225113776,52,60,68,61,50
1427225114126,87,31,25,68,18
1427225254873,68,60,73,94,68
1427225503144,62,50,62,50,75
1427225915710,48,58,70,68,73
1427225941359,57,68,77,56,85
1427225965440,75,25,62,62,31
1427226344115,66,58,58,66,55
