58,86,70
3,6,6
100,100,87
74,62,77
87,75,93
56,31,75
87,75,75
25,43,87
31,25,62
12,6,0
48,51,78
75,50,75
37,68,75
50,76,81
81,55,58
18,68,100
60,75,73
50,50,68
49,48,80
81,62,87
62,6,75
100,37,75
69,69,80
78,71,56
38,66,71
37,68,68
0,0,0
62,53,82
62,50,87
66,60,63
100,56,56
31,81,75
81,56,68
93,31,93
87,62,68
12,12,0
87,56,81
63,56,51
93,87,87
0,0,0
0,0,0
37,6,18
100,75,87
100,43,75
25,62,81
73,61,64
12,0,12
87,87,100
0,0,0
37,43,75
100,62,68
43,37,75
31,93,81
75,75,50
76,50,51
56,56,68
75,25,75
75,56,37
45,56,53
75,93,100
93,56,93
78,44,62
68,75,75
70,50,73
81,75,68
56,50,88
0,0,0
93,62,77
87,43,75
45,57,77
68,63,51
65,36,48
50,61,69
37,25,100
68,37,75
93,93,87
87,68,81
5,12,8
